Email,FullName,Company,CustomData
bilgi@dermoeczanem.com,,Dermo Eczanem,"{""Phone"": ""(850) 532 3004""}"
merhaba@dijibiz.com,,Dijibiz Grafik Tasarım,"{""Phone"": ""(216) 599 0696""}"
info@oyunlagelecek.com,,DiTOP,"{""Phone"": ""(212) 671 2021""}"
destek@digisu.com.tr,,Digisu,"{""Phone"": ""(850) 346 9510""}"
info@enkasystems.com,,Enka Systems,"{""Phone"": ""(212) 376 1000""}"
info@elektral.com.tr,,Elektral,"{""Phone"": ""(232) 376 7300""}"
info@emfa.com.tr,,Emfa Yazılım,"{""Phone"": ""(312) 220 0212""}"
info@erkunt.com.tr,,Erkunt Traktör,"{""Phone"": ""444 98 60""}"
info@erginayteknoloji.com,,Erginay Teknoloji,"{""Phone"": ""(224) 221 2242""}"
info@etiya.com,,Etiya,"{""Phone"": ""(212) 483 7100""}"
info@exepix.com,,Exepix,"{""Phone"": ""(850) 308 1918""}"
onurkaplan@edimly.com,,Edimly,"{""Phone"": ""(545) 554 9845""}"
info@entes.com.tr,,Entes,"{""Phone"": ""(216) 313 0110""}"
bizeulasin@escort.com.tr,,Escort Computer,"{""Phone"": ""(212) 709 9595""}"
info@fantom.com.tr,,Fantom,"{""Phone"": ""(212) 697 5770""}"
iletisim@fargroup.com.tr,,Fargroup,"{""Phone"": ""(312) 385 6835""}"
info@fenixmuhendislik.com,,Fenix Mühendislik,"{""Phone"": ""(224) 441 5110""}"
musterihizmetleri@fetihofis.com,,Fetih Ofis,"{""Phone"": ""(312) 395 8700""}"
bilgi@generalmobile.com,,General Mobile,"{""Phone"": ""(850) 955 1515""}"
info@goldmaster.com.tr,,Goldmaster,"{""Phone"": ""(212) 552 5252""}"
info@gtech.com.tr,,GTech,"{""Phone"": ""(212) 285 9975""}"
account@gleamgames.com,,Gleam Games,"{""Phone"": ""(312) 210 0015""}"
info@havelsan.com.tr,,Havelsan,"{""Phone"": ""(312) 219 5660""}"
info@hepsiburada.com,,Hepsiburada,"{""Phone"": ""(850) 252 4000""}"
info@hometech.com.tr,,Hometech,"{""Phone"": ""(212) 659 3131""}"
info@iksirci.com,,İksirci Baba,"{""Phone"": ""(850) 259 8592""}"
iletisim@inciaku.com,,İnci Akü,"{""Phone"": ""444 5 258""}"
contact@iyzico.com,,İyzico,"{""Phone"": ""(216) 599 0100""}"
bilgi@inkas.com.tr,,İnkas,"{""Phone"": ""(216) 574 9740""}"
inf@kafein.com.tr,,Kafein,"{""Phone"": ""(212) 924 2030""}"
info@karel.com.tr,,Karel,"{""Phone"": ""(212) 355 4800""}"
king@king.com.tr,,King,"{""Phone"": ""(212) 565 1595""}"
info@kivi.com.tr,,Kiwi,"{""Phone"": ""(212) 505 5494""}"
bilgi@kotucikti.com.tr,,Kötü Çıktı.com,"{""Phone"": ""(212) 356 2200""}"
iletisim@logo.com.tr,,Logo Yazılım,"{""Phone"": ""(262) 679 8000""}"
info@loggma.com.tr,,Loggma,"{""Phone"": ""(212) 286 1955""}"
matriks@matriksdata.com,,Matriks,"{""Phone"": ""(212) 354 5454""}"
iletisim@monster.com.tr,,Monster,"{""Phone"": ""(850) 255 1111""}"
contact@madbytegames.com,,Madbyte Games,"{""Phone"": ""(212) 286 0038""}"
info@mikro.com.tr,,Mikro,"{""Phone"": ""(850) 225 1010""}"
milsoft@milsoft.com.tr,,Milsoft,"{""Phone"": ""(312) 292 3000""}"
info@novitasgroups.com,,Mirket Medya,"{""Phone"": ""(538) 228 3505""}"
info@netas.com.tr,,Netaş,"{""Phone"": ""(216) 522 2000""}"
info@netsan.com,,Netsan,"{""Phone"": ""(212) 222 7575""}"
bilgi@neutec.com.tr,,Neutec,"{""Phone"": ""(212) 410 4040""}"
hey@pow.games,,Pow Games,"{""Phone"": ""-""}"
info@piranha.com.tr,,Piranha,"{""Phone"": ""(212) 599 0088""}"
info@patika.dev,,Patika,"{""Phone"": ""(530) 179 4878""}"
saticidestek@pazarama.com,,Pazarama,"{""Phone"": ""(850) 724 7976""}"
info@penta.com.tr,,Penta,"{""Phone"": ""(216) 528 0000""}"
info@protel.com.tr,,Protel,"{""Phone"": ""(212) 336 6900""}"
info@proxolab.com,,Proxolab,"{""Phone"": ""(216) 504 1410""}"
destek@epttavm.com,,PTT AVM,"{""Phone"": ""444 1 788""}"
ram@ram.com.tr,,Ram Dış Ticaret,"{""Phone"": ""(216) 556 5200""}"
info@reeder.com.tr,,Reeder,"{""Phone"": ""(850) 811 7333""}"
atesrefleks@refleks.com.tr,,Reflex,"{""Phone"": ""(312) 287 3565""}"
musterihizmetleri@rksmotor.com.tr,,RKS,"{""Phone"": ""(342) 357 0666""}"
info@roketsan.com.tr,,Roketsan,"{""Phone"": ""(312) 860 5500""}"
info@senkron.net,,Senkron Tech,"{""Phone"": ""(212) 285 9975""}"
bilgi@seyirmobil.com,,Seyir,"{""Phone"": ""(850) 200 0860""}"
merhaba@smart-ix.ai,,Smart.ix,"{""Phone"": ""(212) 286 1955""}"
sahagozu@i4.com.tr,,Sahagözü,"{""Phone"": ""(262) 679 8000""}"
iletisim@sahibinden.com,,Sahibinden,"{""Phone"": ""(850) 222 4444""}"
satis@simfer.com.tr,,Simfer,"{""Phone"": ""(850) 201 0352""}"
info@sinbo.com.tr,,Sinbo,"{""Phone"": ""(212) 422 9494""}"
info@sunny.com.tr,,Sunny,"{""Phone"": ""(212) 412 1212""}"
info@simbt.com.tr,,SimBT,"{""Phone"": ""(312) 210 0015""}"
info@sanlab.com.tr,,Sanlab,"{""Phone"": ""(216) 504 1410""}"
nfo@singiant.com,,Singingiant,"{""Phone"": ""(212) 286 1955""}"
iletisim@tusas.com,,Tusaş,"{""Phone"": ""(312) 811 1800""}"
info@togg.com.tr,,Togg,"{""Phone"": ""444 8 644""}"
info@taleworlds.com,,Taleworlds,"{""Phone"": ""(312) 210 0015""}"
info@threadinmotion.com,,Thread In Motion,"{""Phone"": ""(212) 286 1955""}"
info@touchapp.io,,TouchApp,"{""Phone"": ""(212) 286 1955""}"
musterihizmetleri@turk.net,,Türk Net,"{""Phone"": ""(850) 288 8080""}"
musteri.hizmetleri@turkcell.com.tr,,Turkcell,"{""Phone"": ""(532) 532 0000""}"
info@tzy.com.tr,,TZY,"{""Phone"": ""(312) 210 0015""}"
vestel@vestel.com.tr,,Vestel,"{""Phone"": ""444 4 123""}"
hello@wewalk.io,,WeWALK,"{""Phone"": ""(850) 532 9903""}"
info@webinarim.com,,Webinarım,"{""Phone"": ""-""}"
info@winfluencer.app,,Winfluencer,"{""Phone"": ""-""}"
workcube@workcube.com,,Workcube,"{""Phone"": ""(850) 441 2323""}"
bilgi@yaay.com.tr,,YAAY,"{""Phone"": ""(212) 309 9630""}"
iletisim@yolo.com.tr,,YOLO,"{""Phone"": ""(533) 582 4716""}"
info@yamystudio.com,,Yamy Game Studio,"{""Phone"": ""-""}"
info@yenir.com,,Yenir,"{""Phone"": ""(850) 307 7033""}"
info@yongatek.com,,Yongatek,"{""Phone"": ""(216) 504 1410""}"
zyelektrikli@zyelektrikli.com,,ZY Elektrikli Traktör,"{""Phone"": ""-""}"
info@koczer.com,,Zer,"{""Phone"": ""(216) 556 0000""}"
